[2025-08-21 19:04:53] [DEBUG] TrafficDQN - Step 120: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:53] [DEBUG] TrafficDQN - Step 121: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:54] [DEBUG] TrafficDQN - Step 122: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:54] [DEBUG] TrafficDQN - Step 123: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:54] [DEBUG] TrafficDQN - Step 124: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = 0.00
[2025-08-21 19:04:54] [DEBUG] TrafficDQN - Step 125: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:55] [DEBUG] TrafficDQN - Step 126: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:55] [DEBUG] TrafficDQN - Step 127: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:55] [DEBUG] TrafficDQN - Step 128: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:56] [DEBUG] TrafficDQN - Step 129: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:56] [DEBUG] TrafficDQN - Step 130: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:56] [DEBUG] TrafficDQN - Step 131: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:57] [DEBUG] TrafficDQN - Step 132: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:57] [DEBUG] TrafficDQN - Step 133: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:57] [DEBUG] TrafficDQN - Step 134: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:57] [DEBUG] TrafficDQN - Step 135: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = 0.00
[2025-08-21 19:04:58] [DEBUG] TrafficDQN - Step 136: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:58] [DEBUG] TrafficDQN - Step 137: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:58] [DEBUG] TrafficDQN - Step 138: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:58] [DEBUG] TrafficDQN - Step 139: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:58] [DEBUG] TrafficDQN - Step 140: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:59] [DEBUG] TrafficDQN - Step 141: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:59] [DEBUG] TrafficDQN - Step 142: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
